"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 09:48:58 GMT 2021","Tue Aug 10 09:49:09 GMT 2021","10893","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogin","repetition 3 of 3",""
"passed","Tue Aug 10 09:49:35 GMT 2021","Tue Aug 10 09:49:38 GMT 2021","3022","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","privacyPolicyTest","repetition 2 of 3",""
"passed","Tue Aug 10 09:47:17 GMT 2021","Tue Aug 10 09:47:31 GMT 2021","14389","","Tests.RegistrationTests","","Tests.RegistrationTests","testSuccessfulRegistration","repetition 3 of 3",""
"broken","Tue Aug 10 09:47:02 GMT 2021","Tue Aug 10 09:47:06 GMT 2021","3418","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","repeatedSearchFilmByTitleFromFileTest","repetition 3 of 3",""
"passed","Tue Aug 10 09:48:37 GMT 2021","Tue Aug 10 09:48:47 GMT 2021","9743","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogin","repetition 1 of 3",""
"passed","Tue Aug 10 09:47:32 GMT 2021","Tue Aug 10 09:47:43 GMT 2021","11028","","Tests.DeleteDataTest","","Tests.DeleteDataTest","deleteDataFromBio","repetition 1 of 3",""
"passed","Tue Aug 10 09:49:14 GMT 2021","Tue Aug 10 09:49:19 GMT 2021","4685","","Tests.ListDataTest","","Tests.ListDataTest","listDataFromTopBoxTest","repetition 2 of 3",""
"passed","Tue Aug 10 09:48:17 GMT 2021","Tue Aug 10 09:48:28 GMT 2021","11081","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogout","repetition 2 of 3",""
"passed","Tue Aug 10 09:49:41 GMT 2021","Tue Aug 10 09:50:06 GMT 2021","24850","","Tests.MorePageListTest","","Tests.MorePageListTest","searchByTitleTest","repetition 1 of 3",""
"broken","Tue Aug 10 09:49:23 GMT 2021","Tue Aug 10 09:49:35 GMT 2021","12248","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","privacyPolicyTest","repetition 1 of 3",""
"broken","Tue Aug 10 09:46:06 GMT 2021","Tue Aug 10 09:46:14 GMT 2021","8211","","Tests.ChangeDataTest","","Tests.ChangeDataTest","changeDataInProfileBio","repetition 1 of 3",""
"passed","Tue Aug 10 09:49:19 GMT 2021","Tue Aug 10 09:49:23 GMT 2021","4566","","Tests.ListDataTest","","Tests.ListDataTest","listDataFromTopBoxTest","repetition 3 of 3",""
"passed","Tue Aug 10 09:47:43 GMT 2021","Tue Aug 10 09:47:54 GMT 2021","11775","","Tests.DeleteDataTest","","Tests.DeleteDataTest","deleteDataFromBio","repetition 2 of 3",""
"passed","Tue Aug 10 09:48:06 GMT 2021","Tue Aug 10 09:48:17 GMT 2021","10739","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogout","repetition 1 of 3",""
"passed","Tue Aug 10 09:46:34 GMT 2021","Tue Aug 10 09:47:02 GMT 2021","27924","","Tests.RegistrationTests","","Tests.RegistrationTests","testSuccessfulRegistration","repetition 1 of 3",""
"broken","Tue Aug 10 09:46:34 GMT 2021","Tue Aug 10 09:46:34 GMT 2021","266","","Tests.ChangeDataTest","","Tests.ChangeDataTest","changeDataInProfileBio","repetition 3 of 3",""
