"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 08:19:49 GMT 2021","Thu Aug 05 08:20:03 GMT 2021","13634","","privacyPolicyTest.PrivacyPolicyTest","","privacyPolicyTest.PrivacyPolicyTest","privacyPolicyTest","TC3",""
"passed","Thu Aug 05 08:20:35 GMT 2021","Thu Aug 05 08:20:46 GMT 2021","10261","","login.LoginTest","","login.LoginTest","testSuccessfulLogout","TC2",""
"passed","Thu Aug 05 08:20:46 GMT 2021","Thu Aug 05 08:20:52 GMT 2021","6160","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC1",""
"passed","Thu Aug 05 08:20:52 GMT 2021","Thu Aug 05 08:20:57 GMT 2021","5153","","listDataTest.ListDataTest","","listDataTest.ListDataTest","listDataTest","TC4",""
"passed","Thu Aug 05 08:20:03 GMT 2021","Thu Aug 05 08:20:35 GMT 2021","32296","","morePageListTest.MorePageListTest","","morePageListTest.MorePageListTest","morePageListTest","TC5",""
