"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 14:47:58 GMT 2021","Tue Aug 10 14:48:01 GMT 2021","3508","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","privacyPolicyTest","repetition 2 of 3",""
"passed","Tue Aug 10 14:47:40 GMT 2021","Tue Aug 10 14:47:45 GMT 2021","4700","","Tests.ListDataTest","","Tests.ListDataTest","listDataFromTopBoxTest","repetition 1 of 3",""
"passed","Tue Aug 10 14:49:04 GMT 2021","Tue Aug 10 14:49:27 GMT 2021","22762","","Tests.MorePageListTest","","Tests.MorePageListTest","searchByTitleTest","repetition 3 of 3",""
"passed","Tue Aug 10 14:46:54 GMT 2021","Tue Aug 10 14:47:03 GMT 2021","8930","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogout","repetition 2 of 3",""
"passed","Tue Aug 10 14:47:55 GMT 2021","Tue Aug 10 14:47:58 GMT 2021","2723","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","privacyPolicyTest","repetition 1 of 3",""
"passed","Tue Aug 10 14:48:04 GMT 2021","Tue Aug 10 14:48:38 GMT 2021","34273","","Tests.MorePageListTest","","Tests.MorePageListTest","searchByTitleTest","repetition 1 of 3",""
"passed","Tue Aug 10 14:47:13 GMT 2021","Tue Aug 10 14:47:21 GMT 2021","8498","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogin","repetition 1 of 3",""
"passed","Tue Aug 10 14:47:50 GMT 2021","Tue Aug 10 14:47:55 GMT 2021","5344","","Tests.ListDataTest","","Tests.ListDataTest","listDataFromTopBoxTest","repetition 3 of 3",""
"passed","Tue Aug 10 14:47:21 GMT 2021","Tue Aug 10 14:47:31 GMT 2021","10019","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogin","repetition 2 of 3",""
"passed","Tue Aug 10 14:45:48 GMT 2021","Tue Aug 10 14:45:55 GMT 2021","7324","","Tests.NewDataInputTest","","Tests.NewDataInputTest","newDataInputBioTest","repetition 1 of 3",""
"passed","Tue Aug 10 14:48:38 GMT 2021","Tue Aug 10 14:49:04 GMT 2021","25947","","Tests.MorePageListTest","","Tests.MorePageListTest","searchByTitleTest","repetition 2 of 3",""
