"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 06:38:34 GMT 2021","Mon Aug 09 06:38:41 GMT 2021","7788","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogout","TC2",""
"passed","Mon Aug 09 06:39:38 GMT 2021","Mon Aug 09 06:39:55 GMT 2021","17059","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","repeatedSearchFilmByTitleFromFile","TC7",""
"passed","Mon Aug 09 06:38:05 GMT 2021","Mon Aug 09 06:38:23 GMT 2021","18319","","Tests.RegistrationTests","","Tests.RegistrationTests","testSuccessfulRegistration","TC0",""
"passed","Mon Aug 09 06:38:57 GMT 2021","Mon Aug 09 06:39:00 GMT 2021","3244","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","privacyPolicyTest","TC3",""
"passed","Mon Aug 09 06:38:24 GMT 2021","Mon Aug 09 06:38:34 GMT 2021","10083","","Tests.NewDataInputTest","","Tests.NewDataInputTest","newDataInputBioTest","TC6",""
"passed","Mon Aug 09 06:39:00 GMT 2021","Mon Aug 09 06:39:38 GMT 2021","37843","","Tests.MorePageListTest","","Tests.MorePageListTest","searchByTitleTest","TC5",""
"passed","Mon Aug 09 06:38:41 GMT 2021","Mon Aug 09 06:38:52 GMT 2021","10511","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogin","TC1",""
"passed","Mon Aug 09 06:38:52 GMT 2021","Mon Aug 09 06:38:57 GMT 2021","5234","","Tests.ListDataTest","","Tests.ListDataTest","listDataFromTopBoxTest","TC4",""
