"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 18:23:15 GMT 2021","Fri Aug 06 18:23:26 GMT 2021","10721","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogout","TC2",""
"passed","Fri Aug 06 18:23:26 GMT 2021","Fri Aug 06 18:23:34 GMT 2021","7306","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogin","TC1",""
"passed","Fri Aug 06 18:23:34 GMT 2021","Fri Aug 06 18:23:39 GMT 2021","5654","","Tests.ListDataTest","","Tests.ListDataTest","listDataTest","TC4",""
"passed","Fri Aug 06 18:23:39 GMT 2021","Fri Aug 06 18:23:43 GMT 2021","3394","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","privacyPolicyTest","TC3",""
"passed","Fri Aug 06 18:23:43 GMT 2021","Fri Aug 06 18:24:20 GMT 2021","37819","","Tests.MorePageListTest","","Tests.MorePageListTest","morePageListTest","TC5",""
"passed","Fri Aug 06 18:23:08 GMT 2021","Fri Aug 06 18:23:15 GMT 2021","7540","","Tests.RegistrationTests","","Tests.RegistrationTests","testSuccessfulRegistration","testSuccessfulRegistration()",""
