"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 15:37:02 GMT 2021","Mon Aug 09 15:37:18 GMT 2021","15420","","Tests.RegistrationTests","","Tests.RegistrationTests","testSuccessfulRegistration","repetition 1 of 3",""
"passed","Mon Aug 09 15:40:29 GMT 2021","Mon Aug 09 15:40:57 GMT 2021","27982","","Tests.MorePageListTest","","Tests.MorePageListTest","searchByTitleTest","repetition 2 of 3",""
"passed","Mon Aug 09 15:41:55 GMT 2021","Mon Aug 09 15:42:11 GMT 2021","15259","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","repeatedSearchFilmByTitleFromFile","repetition 3 of 3",""
"passed","Mon Aug 09 15:38:42 GMT 2021","Mon Aug 09 15:38:51 GMT 2021","9482","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogout","repetition 3 of 3",""
"passed","Mon Aug 09 15:40:57 GMT 2021","Mon Aug 09 15:41:25 GMT 2021","27379","","Tests.MorePageListTest","","Tests.MorePageListTest","searchByTitleTest","repetition 3 of 3",""
"passed","Mon Aug 09 15:39:02 GMT 2021","Mon Aug 09 15:39:14 GMT 2021","11576","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogin","repetition 2 of 3",""
"passed","Mon Aug 09 15:38:32 GMT 2021","Mon Aug 09 15:38:42 GMT 2021","10445","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogout","repetition 2 of 3",""
"passed","Mon Aug 09 15:39:42 GMT 2021","Mon Aug 09 15:39:46 GMT 2021","4137","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","privacyPolicyTest","repetition 2 of 3",""
"passed","Mon Aug 09 15:36:38 GMT 2021","Mon Aug 09 15:36:50 GMT 2021","11799","","Tests.ChangeDataTest","","Tests.ChangeDataTest","changeDataInProfileBio","repetition 2 of 3",""
"passed","Mon Aug 09 15:41:41 GMT 2021","Mon Aug 09 15:41:55 GMT 2021","14805","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","repeatedSearchFilmByTitleFromFile","repetition 2 of 3",""
"passed","Mon Aug 09 15:38:10 GMT 2021","Mon Aug 09 15:38:21 GMT 2021","10972","","Tests.NewDataInputTest","","Tests.NewDataInputTest","newDataInputBioTest","repetition 3 of 3",""
"passed","Mon Aug 09 15:39:24 GMT 2021","Mon Aug 09 15:39:29 GMT 2021","4580","","Tests.ListDataTest","","Tests.ListDataTest","listDataFromTopBoxTest","repetition 1 of 3",""
"passed","Mon Aug 09 15:39:51 GMT 2021","Mon Aug 09 15:40:29 GMT 2021","38665","","Tests.MorePageListTest","","Tests.MorePageListTest","searchByTitleTest","repetition 1 of 3",""
"passed","Mon Aug 09 15:38:51 GMT 2021","Mon Aug 09 15:39:02 GMT 2021","10484","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogin","repetition 1 of 3",""
"passed","Mon Aug 09 15:37:33 GMT 2021","Mon Aug 09 15:37:48 GMT 2021","14520","","Tests.RegistrationTests","","Tests.RegistrationTests","testSuccessfulRegistration","repetition 3 of 3",""
"passed","Mon Aug 09 15:39:46 GMT 2021","Mon Aug 09 15:39:51 GMT 2021","4311","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","privacyPolicyTest","repetition 3 of 3",""
"passed","Mon Aug 09 15:39:14 GMT 2021","Mon Aug 09 15:39:24 GMT 2021","10535","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogin","repetition 3 of 3",""
"passed","Mon Aug 09 15:39:29 GMT 2021","Mon Aug 09 15:39:33 GMT 2021","4483","","Tests.ListDataTest","","Tests.ListDataTest","listDataFromTopBoxTest","repetition 2 of 3",""
"passed","Mon Aug 09 15:41:25 GMT 2021","Mon Aug 09 15:41:41 GMT 2021","15853","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","repeatedSearchFilmByTitleFromFile","repetition 1 of 3",""
"passed","Mon Aug 09 15:39:38 GMT 2021","Mon Aug 09 15:39:42 GMT 2021","4092","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","privacyPolicyTest","repetition 1 of 3",""
"passed","Mon Aug 09 15:37:18 GMT 2021","Mon Aug 09 15:37:33 GMT 2021","15264","","Tests.RegistrationTests","","Tests.RegistrationTests","testSuccessfulRegistration","repetition 2 of 3",""
"passed","Mon Aug 09 15:36:50 GMT 2021","Mon Aug 09 15:37:02 GMT 2021","12292","","Tests.ChangeDataTest","","Tests.ChangeDataTest","changeDataInProfileBio","repetition 3 of 3",""
"passed","Mon Aug 09 15:39:33 GMT 2021","Mon Aug 09 15:39:38 GMT 2021","5047","","Tests.ListDataTest","","Tests.ListDataTest","listDataFromTopBoxTest","repetition 3 of 3",""
"passed","Mon Aug 09 15:36:23 GMT 2021","Mon Aug 09 15:36:38 GMT 2021","14692","","Tests.ChangeDataTest","","Tests.ChangeDataTest","changeDataInProfileBio","repetition 1 of 3",""
"passed","Mon Aug 09 15:37:48 GMT 2021","Mon Aug 09 15:37:59 GMT 2021","11031","","Tests.NewDataInputTest","","Tests.NewDataInputTest","newDataInputBioTest","repetition 1 of 3",""
"passed","Mon Aug 09 15:38:21 GMT 2021","Mon Aug 09 15:38:32 GMT 2021","10850","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogout","repetition 1 of 3",""
"passed","Mon Aug 09 15:37:59 GMT 2021","Mon Aug 09 15:38:10 GMT 2021","11178","","Tests.NewDataInputTest","","Tests.NewDataInputTest","newDataInputBioTest","repetition 2 of 3",""
