"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 07:39:13 GMT 2021","Wed Aug 04 07:39:22 GMT 2021","8833","","login.LoginTest","","login.LoginTest","testSuccessfulLogout","TC2",""
"passed","Wed Aug 04 07:38:53 GMT 2021","Wed Aug 04 07:39:13 GMT 2021","19643","","privacyPolicyTest.PrivacyPolicyTest","","privacyPolicyTest.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"broken","Wed Aug 04 07:39:22 GMT 2021","Wed Aug 04 07:39:23 GMT 2021","1068","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC1",""
