"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 05 06:40:04 GMT 2021","Thu Aug 05 06:40:09 GMT 2021","4990","","listDataTest.ListDataTest","","listDataTest.ListDataTest","listDataTest","TC4",""
"passed","Thu Aug 05 06:39:57 GMT 2021","Thu Aug 05 06:40:04 GMT 2021","6731","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC1",""
"passed","Thu Aug 05 06:39:13 GMT 2021","Thu Aug 05 06:39:47 GMT 2021","33674","","morePageListTest.MorePageListTest","","morePageListTest.MorePageListTest","morePageListTest","TC5",""
"passed","Thu Aug 05 06:39:00 GMT 2021","Thu Aug 05 06:39:13 GMT 2021","12932","","privacyPolicyTest.PrivacyPolicyTest","","privacyPolicyTest.PrivacyPolicyTest","privacyPolicyTest","TC3",""
"passed","Thu Aug 05 06:39:47 GMT 2021","Thu Aug 05 06:39:57 GMT 2021","9902","","login.LoginTest","","login.LoginTest","testSuccessfulLogout","TC2",""
