"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 13:35:26 GMT 2021","Mon Aug 23 13:35:41 GMT 2021","15904","","Tests.DeleteDataTest","","Tests.DeleteDataTest","testDeleteDataFromBio","repetition 3 of 3",""
"passed","Mon Aug 23 13:37:01 GMT 2021","Mon Aug 23 13:37:08 GMT 2021","7576","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testSaveDataToFileDVD","repetition 2 of 3",""
"passed","Mon Aug 23 13:37:46 GMT 2021","Mon Aug 23 13:38:02 GMT 2021","15489","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testSaveDataToFileAdvancedSearch","repetition 3 of 3",""
"passed","Mon Aug 23 13:34:36 GMT 2021","Mon Aug 23 13:34:51 GMT 2021","15520","","Tests.NewDataInputTest","","Tests.NewDataInputTest","testNewDataInputBio","repetition 3 of 3",""
"passed","Mon Aug 23 13:39:49 GMT 2021","Mon Aug 23 13:39:55 GMT 2021","6159","","Tests.ListDataTest","","Tests.ListDataTest","testListDataFromTopBox","repetition 1 of 3",""
"passed","Mon Aug 23 13:33:15 GMT 2021","Mon Aug 23 13:33:32 GMT 2021","17012","","Tests.RegistrationTests","","Tests.RegistrationTests","testSuccessfulRegistration","repetition 1 of 3",""
"passed","Mon Aug 23 13:40:31 GMT 2021","Mon Aug 23 13:40:37 GMT 2021","5783","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","testPrivacyPolicy","repetition 1 of 3",""
"passed","Mon Aug 23 13:39:55 GMT 2021","Mon Aug 23 13:40:01 GMT 2021","6060","","Tests.ListDataTest","","Tests.ListDataTest","testListDataFromTopBox","repetition 2 of 3",""
"passed","Mon Aug 23 13:40:47 GMT 2021","Mon Aug 23 13:41:27 GMT 2021","39810","","Tests.MorePageListTest","","Tests.MorePageListTest","testSearchByTitle","repetition 1 of 3",""
"passed","Mon Aug 23 13:39:42 GMT 2021","Mon Aug 23 13:39:49 GMT 2021","6873","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLoginWithNotRegisteredUser","repetition 3 of 3",""
"passed","Mon Aug 23 13:37:16 GMT 2021","Mon Aug 23 13:37:31 GMT 2021","15048","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testSaveDataToFileAdvancedSearch","repetition 1 of 3",""
"passed","Mon Aug 23 13:39:28 GMT 2021","Mon Aug 23 13:39:35 GMT 2021","6683","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLoginWithNotRegisteredUser","repetition 1 of 3",""
"passed","Mon Aug 23 13:36:13 GMT 2021","Mon Aug 23 13:36:29 GMT 2021","15338","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testRepeatedSearchFilmByTitleFromFileTest","repetition 3 of 3",""
"passed","Mon Aug 23 13:35:09 GMT 2021","Mon Aug 23 13:35:26 GMT 2021","16953","","Tests.DeleteDataTest","","Tests.DeleteDataTest","testDeleteDataFromBio","repetition 2 of 3",""
"passed","Mon Aug 23 13:41:55 GMT 2021","Mon Aug 23 13:42:22 GMT 2021","27367","","Tests.MorePageListTest","","Tests.MorePageListTest","testSearchByTitle","repetition 3 of 3",""
"passed","Mon Aug 23 13:33:48 GMT 2021","Mon Aug 23 13:34:03 GMT 2021","15389","","Tests.RegistrationTests","","Tests.RegistrationTests","testSuccessfulRegistration","repetition 3 of 3",""
"passed","Mon Aug 23 13:42:39 GMT 2021","Mon Aug 23 13:42:54 GMT 2021","15266","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","testRepeatedSearchFilmByTitleFromFileTest","repetition 2 of 3",""
"passed","Mon Aug 23 13:36:37 GMT 2021","Mon Aug 23 13:36:45 GMT 2021","7636","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testSaveDataToFileRelease","repetition 2 of 3",""
"passed","Mon Aug 23 13:35:41 GMT 2021","Mon Aug 23 13:35:58 GMT 2021","16478","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testRepeatedSearchFilmByTitleFromFileTest","repetition 1 of 3",""
"passed","Mon Aug 23 13:39:35 GMT 2021","Mon Aug 23 13:39:42 GMT 2021","6925","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLoginWithNotRegisteredUser","repetition 2 of 3",""
"passed","Mon Aug 23 13:40:37 GMT 2021","Mon Aug 23 13:40:42 GMT 2021","5340","","Tests.PrivacyPolicyTest","","Tests.PrivacyPolicyTest","testPrivacyPolicy","repetition 2 of 3",""
"passed","Mon Aug 23 13:38:46 GMT 2021","Mon Aug 23 13:39:01 GMT 2021","14956","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLoginWithRegisteredUser","repetition 1 of 3",""
"passed","Mon Aug 23 13:40:08 GMT 2021","Mon Aug 23 13:40:16 GMT 2021","8016","","Tests.ListDataTest","","Tests.ListDataTest","testListDataFromDVD","repetition 1 of 3",""
"passed","Mon Aug 23 13:42:22 GMT 2021","Mon Aug 23 13:42:39 GMT 2021","16129","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","","Tests.RepeatedAndSequentialDataEntryFromDataSourceTest","testRepeatedSearchFilmByTitleFromFileTest","repetition 1 of 3",""
"passed","Mon Aug 23 13:38:02 GMT 2021","Mon Aug 23 13:38:17 GMT 2021","14823","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogout","repetition 1 of 3",""
"passed","Mon Aug 23 13:37:08 GMT 2021","Mon Aug 23 13:37:16 GMT 2021","7504","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testSaveDataToFileDVD","repetition 3 of 3",""
"passed","Mon Aug 23 13:38:32 GMT 2021","Mon Aug 23 13:38:46 GMT 2021","14273","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogout","repetition 3 of 3",""
"passed","Mon Aug 23 13:36:29 GMT 2021","Mon Aug 23 13:36:37 GMT 2021","8268","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testSaveDataToFileRelease","repetition 1 of 3",""
"passed","Mon Aug 23 13:40:01 GMT 2021","Mon Aug 23 13:40:08 GMT 2021","6922","","Tests.ListDataTest","","Tests.ListDataTest","testListDataFromTopBox","repetition 3 of 3",""
"passed","Mon Aug 23 13:35:58 GMT 2021","Mon Aug 23 13:36:13 GMT 2021","15412","","Tests.SaveDataFromPageTest","","Tests.SaveDataFromPageTest","testRepeatedSearchFilmByTitleFromFileTest","repetition 2 of 3",""
"passed","Mon Aug 23 13:38:17 GMT 2021","Mon Aug 23 13:38:32 GMT 2021","15153","","Tests.LoginTest","","Tests.LoginTest","testSuccessfulLogout","repetition 2 of 3",""
